BAIRRO,Variável,2024
abranches,populacao estimada - total (habitante),14515
agua verde,populacao estimada - total (habitante),50617
ahu,populacao estimada - total (habitante),12244
alto boqueirao,populacao estimada - total (habitante),52161
alto da gloria,populacao estimada - total (habitante),6540
alto da rua xv,populacao estimada - total (habitante),8252
atuba,populacao estimada - total (habitante),21287
augusta,populacao estimada - total (habitante),7748
bacacheri,populacao estimada - total (habitante),24688
bairro alto,populacao estimada - total (habitante),43388
barreirinha,populacao estimada - total (habitante),16099
batel,populacao estimada - total (habitante),10027
bigorrilho,populacao estimada - total (habitante),25846
boa vista,populacao estimada - total (habitante),33019
bom retiro,populacao estimada - total (habitante),5112
boqueirao,populacao estimada - total (habitante),66197
butiatuvinha,populacao estimada - total (habitante),13980
cabral,populacao estimada - total (habitante),14215
cachoeira,populacao estimada - total (habitante),12190
cajuru,populacao estimada - total (habitante),91440
campina do siqueira,populacao estimada - total (habitante),7003
campo comprido,populacao estimada - total (habitante),33936
campo de santana,populacao estimada - total (habitante),44781
capao da imbuia,populacao estimada - total (habitante),18272
capao raso,populacao estimada - total (habitante),39201
caximba,populacao estimada - total (habitante),8936
centro,populacao estimada - total (habitante),39970
cidade industrial de curitiba,populacao estimada - total (habitante),177170
cristo rei,populacao estimada - total (habitante),18835
fanny,populacao estimada - total (habitante),8623
fazendinha,populacao estimada - total (habitante),25639
ganchinho,populacao estimada - total (habitante),21382
guabirotuba,populacao estimada - total (habitante),10808
guai­ra,populacao estimada - total (habitante),15176
hauer,populacao estimada - total (habitante),11935
hugo lange,populacao estimada - total (habitante),4443
jardim botanico,populacao estimada - total (habitante),5475
jardim das americas,populacao estimada - total (habitante),15427
jardim social,populacao estimada - total (habitante),4911
juveve,populacao estimada - total (habitante),12402
lindoia,populacao estimada - total (habitante),8522
merces,populacao estimada - total (habitante),12523
mossungue,populacao estimada - total (habitante),13087
novo mundo,populacao estimada - total (habitante),42891
orleans,populacao estimada - total (habitante),8514
parolin,populacao estimada - total (habitante),9941
pilarzinho,populacao estimada - total (habitante),27544
pinheirinho,populacao estimada - total (habitante),59086
portao,populacao estimada - total (habitante),51735
prado velho,populacao estimada - total (habitante),4865
reboucas,populacao estimada - total (habitante),13998
santa candida,populacao estimada - total (habitante),43672
santa felicidade,populacao estimada - total (habitante),33446
santa quiteria,populacao estimada - total (habitante),11091
santo inacio,populacao estimada - total (habitante),7017
sao braz,populacao estimada - total (habitante),24188
sao francisco,populacao estimada - total (habitante),4974
sao lourenco,populacao estimada - total (habitante),6158
sao miguel,populacao estimada - total (habitante),7269
seminario,populacao estimada - total (habitante),5702
sitio cercado,populacao estimada - total (habitante),102979
taboao,populacao estimada - total (habitante),3578
taruma,populacao estimada - total (habitante),7108
tatuquara,populacao estimada - total (habitante),58166
tingui,populacao estimada - total (habitante),12517
uberaba,populacao estimada - total (habitante),75447
umbara,populacao estimada - total (habitante),23177
vila izabel,populacao estimada - total (habitante),13437
vista alegre,populacao estimada - total (habitante),11016
xaxim,populacao estimada - total (habitante),59875
